files                : 737
bytes                : 33578445
blocks above 7.5     : 432 of 1041

ext       files          bytes       pct  blk>thr    mean H
.WAV        216       10426824  31.0521 %       68    7.1718
.CHM          1        6268124  18.6671 %       95    7.9980
.EXE          3        5467822  16.2837 %        0    5.8084
.PNG        355        5174453  15.4100 %      268    7.6838
.MID        141        2945749   8.7727 %        0    5.5135
.DAT          4        2176990   6.4833 %        0    6.3158
.DLL          3         637440   1.8984 %        1    6.5023
.LDB          1         374229   1.1145 %        0    5.1803
.PSD          1          54653   0.1628 %        0    5.3420
.ICO          1          23558   0.0702 %        0    4.0597
.TXT          2          13870   0.0413 %        0    6.2756
.LMU          3          12635   0.0376 %        0    5.2733
.VDF          1           1545   0.0046 %        0    5.5108
.LMT          1            335   0.0010 %        0    4.2901
.URL          2            104   0.0003 %        0    4.5560
.INI          1             98   0.0003 %        0    5.0434
.R3PROJ       1             16   0.0000 %        0    3.6250
