path	bytes	width	height	depth	colour	chunks	residue	palette_sha1	palette_entries	idat_bytes
RTP/Backdrop/Arena.png	42863	320	240	8	3	10	0	19797afe4a31cb999dfd5b4355555b1ec3bf852d	256	41945
RTP/Backdrop/Bathhouse.png	40806	320	240	8	3	6	0	c0bc7b1673748c12dd3c6f8471df7bfdaacc5a8c	256	39909
RTP/Backdrop/Beach.png	58508	320	240	8	3	4	0	6281ffd7d433d7c801e1f4b26ef8ab15bf1b4a74	256	57671
RTP/Backdrop/Bridge.png	48479	320	240	8	3	6	0	3aa39d0a8234e9a9b31b731db0c888f8b3b8a53c	256	47582
RTP/Backdrop/Castle.png	48424	320	240	8	3	4	0	a4fe0336993878ea6cbe32b2bee4c8222865fdb0	256	47587
RTP/Backdrop/Desert.png	65935	320	240	8	3	4	0	b6d0288634030723e8768f6a954371b878a3981d	256	65098
RTP/Backdrop/Dungeon1.png	46288	320	240	8	3	10	0	c2e69ca7cff98cb3d5c05d1d94c9db22551b0112	256	45370
RTP/Backdrop/Dungeon2.png	44799	320	240	8	3	10	0	bd26d6735615e1a092dc829ba9c71ee94f14a1cd	256	43881
RTP/Backdrop/Dungeon3.png	50956	320	240	8	3	11	0	434df2234c84ace82b9be6b1f16c7faba54f7e19	256	50026
RTP/Backdrop/Dungeon4.png	65525	320	240	8	3	6	0	6bff59b2aa4bc385fe9b2deb6aceae049e2f3f78	256	64628
RTP/Backdrop/Dungeon5.png	50600	320	240	8	3	11	0	df7acbc2b08db62ddf8e50a27ada24ce79fb6f7e	256	49670
RTP/Backdrop/Dungeon6.png	52644	320	240	8	3	11	0	c85ff4954c563936136ce97f7658c834eb4998d1	256	51714
RTP/Backdrop/Forest1.png	44076	320	240	8	3	6	0	88e835b21e103edd4bfc39f2bce3db22ef62f71a	256	43179
RTP/Backdrop/Forest2.png	52389	320	240	8	3	11	0	83e9183e78dd6d78b51c6e2247240e52877a5620	256	51459
RTP/Backdrop/Grassland.png	50362	320	240	8	3	11	0	3969e7a4fa0df00e7cdd89a5463ad9360f62b38e	256	49432
RTP/Backdrop/Graveyard.png	67348	320	240	8	3	6	0	ec90e0683ba220242d78cd8e52bf28bb51a28173	256	66451
RTP/Backdrop/Mansion.png	52204	320	240	8	3	6	0	ef2c8efcd7b3504fa2d862f562873ee08449bc9f	256	51307
RTP/Backdrop/Mountain Road.png	49753	320	240	8	3	6	0	de144a565dfc581f022c37ecbc5567cf01f74477	256	48856
RTP/Backdrop/Old Town.png	39930	320	240	8	3	6	0	a76b47ef5443e318cd62730536d289ad29ac50d5	256	39033
RTP/Backdrop/Road.png	41444	320	240	8	3	6	0	30d72cc41b7949582ce3d9a4d831585d8e965389	256	40547
RTP/Backdrop/Rocky Road.png	70987	320	240	8	3	6	0	ab398e4ff12af8d7a6ce928a630dc7a26d50f45e	256	70090
RTP/Backdrop/Ruins1.png	40288	320	240	8	3	9	0	337fda8b2507d8053397614c4988a49d7525f3b4	256	39382
RTP/Backdrop/Ruins2.png	63367	320	240	8	3	12	0	43835cd08ce7612ca769f7c947e13c96e851bc48	256	62425
RTP/Backdrop/Sea.png	48800	320	240	8	3	4	0	8ecac027c88075b4207180a05b26c4eac07b2cb9	256	47963
RTP/Backdrop/Ship.png	38088	320	240	8	3	9	0	f1e9d44f22f536bee3acd39f7f5528d9203d477c	256	37182
RTP/Backdrop/Sky.png	38265	320	240	8	3	9	0	cfb848c25961ab9daf99cd043966f023a2e05133	256	37359
RTP/Backdrop/Snow Field.png	47783	320	240	8	3	6	0	8dcadf3b039153c24a9440cb26a04679c279acc0	256	46886
RTP/Backdrop/Space.png	56363	320	240	8	3	11	0	acbcc568e4a99c63f7c7306f52b264d93c6a4fef	256	55433
RTP/Backdrop/Swamp.png	42070	320	240	8	3	10	0	0c8103450ba9ef7043a5c411c017fe971f57a81b	256	41152
RTP/Backdrop/Temple1.png	35447	320	240	8	3	6	0	16e9a1fff0db1a6a69cb9a4a65ffe05897d1b4bc	256	34550
RTP/Backdrop/Temple2.png	53967	320	240	8	3	11	0	c3612f1de57d38c28bed906a62809c0e90dae1e4	256	53037
RTP/Backdrop/Town.png	58984	320	240	8	3	6	0	953c2e06db4524c6651c7630c2df5235c0e027a4	256	58087
RTP/Backdrop/Universe.png	31432	320	240	8	3	8	0	af59a83dd69a60e7267c5ae2411605c6355a527d	256	30538
RTP/Backdrop/Wasteland.png	48064	320	240	8	3	10	0	eac856d3277c9ced877b56ba785a0dd43d41d1f4	256	47146
RTP/Battle/2003 Absorb.png	5495	480	480	8	3	6	0	ef929c402359676a75fb60415b4db96ab6fca016	256	4598
RTP/Battle/2003 Axe.png	4869	480	480	8	3	6	0	ef929c402359676a75fb60415b4db96ab6fca016	256	3972
