path	bytes	format	ntrks	division	residue	events	ticks	seconds	tempos
RTP/Music/2003Adventurers.mid	42592	1	8	120	0	13736	20039	84.911	1
RTP/Music/2003Ancient City.mid	10916	1	10	480	0	2494	32680	46.235	2
RTP/Music/2003Battle with an Evil God.mid	23641	1	17	480	0	5506	72960	50.333	2
RTP/Music/2003Beginning of a War.mid	25542	1	10	120	0	8178	35285	111.286	2
RTP/Music/2003Casino Indulgence.mid	94402	1	7	120	0	30072	31200	123.809	1
RTP/Music/2003Cathedral.mid	5220	1	6	480	0	1179	55680	103.179	12
RTP/Music/2003Church.mid	3252	1	5	120	0	798	11880	73.857	145
RTP/Music/2003City Bustle.mid	25530	1	7	120	0	7919	15839	47.140	1
RTP/Music/2003Colosseum.mid	50297	1	15	120	0	16332	29219	98.713	1
RTP/Music/2003Creeping Darkness.mid	16942	1	18	480	0	3875	49920	47.154	2
RTP/Music/2003Cyber City.mid	42643	1	10	120	0	13824	19680	84.103	1
RTP/Music/2003DarkAltar.mid	7951	1	9	480	0	1864	48520	84.217	3
RTP/Music/2003Deep Memory.mid	7566	1	8	480	0	1758	44640	74.191	10
RTP/Music/2003Deserted Mansion.mid	10635	1	14	480	0	2410	46080	62.333	2
RTP/Music/2003Dream Forest.mid	6693	1	16	480	0	1446	36480	73.000	2
RTP/Music/2003Dream of Striking It Rich.mid	7222	1	12	480	0	1558	44160	32.059	2
RTP/Music/2003Dreaminess.mid	5173	1	6	480	0	1208	21140	33.031	1
RTP/Music/2003Empire.mid	48359	1	11	120	0	15693	20099	77.304	1
RTP/Music/2003Exploring Ruins.mid	27671	1	12	480	0	6782	63360	77.800	2
RTP/Music/2003Fairy Forest.mid	61424	1	10	120	0	19761	35039	162.218	1
RTP/Music/2003Far Eastern Land.mid	76631	1	11	120	0	23432	19680	80.000	1
RTP/Music/2003Final Battleground.mid	12647	1	10	480	0	3008	48480	84.143	2
RTP/Music/2003Free For All.mid	12886	1	12	480	0	2847	78720	51.526	2
RTP/Music/2003Healing Spring.mid	11504	1	14	480	0	2751	71040	87.400	2
RTP/Music/2003Hero's Return.mid	114307	1	18	120	0	36385	60603	171.855	387
RTP/Music/2003Ice Labyrinth.mid	39351	1	8	120	0	12491	18000	106.465	83
RTP/Music/2003In the Eternal Flow of Time.mid	12027	1	15	480	0	2688	88340	151.035	2
RTP/Music/2003Little Army's March.mid	7601	1	10	480	0	1751	35520	36.500	2
RTP/Music/2003Lonesome Journey.mid	21971	1	11	480	0	5252	63360	88.705	2
RTP/Music/2003Machine Fortress.mid	16074	1	6	120	0	5228	27360	117.931	1
RTP/Music/2003Maximum Battle.mid	28635	1	7	120	0	9278	22559	61.975	1
RTP/Music/2003Otherworldly Corridor.mid	22257	1	13	480	0	5297	67200	58.571	3
RTP/Music/2003Palace Party.mid	18242	1	15	480	0	4254	67680	64.869	7
RTP/Music/2003Panic.mid	6080	1	7	480	0	1452	16320	12.625	2
RTP/Music/2003Repeated Wars.mid	51720	1	7	120	0	16429	23520	75.871	1
RTP/Music/2003Silence.mid	16641	1	13	480	0	4062	36480	73.000	2
RTP/Music/2003Snow Town.mid	4734	1	11	480	0	1041	29280	36.250	2
RTP/Music/2003Sorrow.mid	99072	1	17	120	0	31812	26279	135.797	272
